qnum,muni,codeibge,codesetor,group,incumbent_wins,acc_status,age,politics_interest,turnout_2012,vote_2012,same_race_mayor,turnout_2014,vote_2014,partisan,pid,muni_biggest_prob,politician_helped,mayor_pid,govt_eval_baseline,acc_eval_baseline,uncertain_acc_baseline,edu_eval_baseline,uncertain_edu_baseline,tce_knowledge,ana_knowledge,child_school,confid_fedgov,confid_justice,confid_tce,confid_muni,acc_responsible,edu_responsible,prob_vote_buying,prob_vote_monitoring,prob_vote_count,acc_rejected_prior,tce_prior_cert,ana_prior,edu_prior_uncert,years_edu,race,religion,income,relative_wellbeing,muni_biggest_prob_noimpute,govt_eval_baseline_noimpute,confid_fedgov_noimpute,confid_justice_noimpute,confid_tce_noimpute,confid_muni_noimpute,ana,accounts,acc_rejected,control,female,edu_rank1,acc_rank1,info_corrupt_welfare1,source_cred1_survey,free_fair,flier,turnout,vote_choice,campaign_issue,pol_effort,vote_vig,rejected_should_rerun,vote_vig_cont,pol_honesty_noimpute,vig_treatment,valid_vote,vote,vote_vig_strict,attrited
1,Abreu e Lima,2600054,260005405000008,(3) Educação,0,APROVADO COM RESSALVA,50,Pouco interessado(a),1,1,1,Sim,Dilma Rousseff,1,PT,Saúde/hospitais/postos de saúde,0,7,5,Péssimo,7,Ruim,7,0,0,1,4,4,4,7,7,7,3,2,1,1,Seguro(a),13,Seguro(a),3,Parda,Evangélica Pentecostal,4,3,Saúde/hospitais/postos de saúde,5,4,4,4,7,1,0,0,0,0,0,0,1,0,3,Educação,1,2,Saúde/hospitais/postos de saúde,1,1,Não deveriam ter o direito de disputar a reeleição,2,Não ficaria surpreso(a) de jeito nenhum,0,1,0,0,0
2,Abreu e Lima,2600054,260005405000008,(1) Controle,0,APROVADO COM RESSALVA,37,Nada interessado(a),1,1,0,Não,Dilma Rousseff,0,NA,Saúde/hospitais/postos de saúde,0,1,3,Regular,7,Ruim,7,0,0,1,2,2,2,1,7,7,3,3,2,1,Seguro(a),57,Seguro(a),6,Parda,"Nenhuma (Acredita em uma entidade suprema, mas não pertence a religião nenhuma)",4,3,Saúde/hospitais/postos de saúde,3,2,2,2,1,0,0,0,1,0,0,1,1,0,5,Educação,1,1,Saúde/hospitais/postos de saúde,2,0,Não deveriam ter o direito de disputar a reeleição,4,Mais ou menos surpreso(a),0,1,0,0,0
3,Abreu e Lima,2600054,260005405000008,(1) Controle,0,APROVADO COM RESSALVA,26,Pouco interessado(a),1,1,0,Sim,Dilma Rousseff,1,PT,Saúde/hospitais/postos de saúde,0,7,4,Ruim,7,Ruim,7,0,0,1,1,1,1,1,7,7,3,2,2,1,Seguro(a),57,Seguro(a),8,Parda,"Nenhuma (Acredita em uma entidade suprema, mas não pertence a religião nenhuma)",3,3,Saúde/hospitais/postos de saúde,4,1,1,1,1,0,0,0,1,1,0,0,0,0,4,Gestão Financ.,1,1,Saúde/hospitais/postos de saúde,1,1,Não deveriam ter o direito de disputar a reeleição,2,Não ficaria surpreso(a) de jeito nenhum,0,1,0,0,0
4,Abreu e Lima,2600054,260005405000008,(3) Educação,0,APROVADO COM RESSALVA,81,Nada interessado(a),0,1,0,Não,Dilma Rousseff,0,NA,Saúde/hospitais/postos de saúde,1,1,5,Ruim,7,Ruim,7,0,0,1,1,1,1,7,7,7,3,4,1,1,Seguro(a),57,Seguro(a),0,Branca,Evangélica Pentecostal,4,3,Saúde/hospitais/postos de saúde,5,1,1,1,7,1,0,0,0,1,0,0,0,0,5,Educação,0,Branco/Nulo,Saúde/hospitais/postos de saúde,2,NA,Não deveriam ter o direito de disputar a reeleição,NA,Não ficaria surpreso(a) de jeito nenhum,1,0,0,NA,0
5,Abreu e Lima,2600054,260005405000008,(2) Gestão Financeira,0,APROVADO COM RESSALVA,56,Pouco interessado(a),1,1,0,Sim,Dilma Rousseff,0,NA,Saúde/hospitais/postos de saúde,0,1,3,Regular,7,Ruim,7,0,0,1,7,7,5,7,7,7,4,2,2,1,Seguro(a),15,Seguro(a),11,Parda,Evangélica Pentecostal,4,4,Saúde/hospitais/postos de saúde,3,7,7,5,7,0,1,0,0,0,0,0,1,0,4,Gestão Financ.,1,1,Segurança/violência/criminalidade,1,1,Não deveriam ter o direito de disputar a reeleição,2,Não ficaria surpreso(a) de jeito nenhum,0,1,0,0,0
6,Abreu e Lima,2600054,260005405000008,(2) Gestão Financeira,0,APROVADO COM RESSALVA,33,Pouco interessado(a),1,0,0,Sim,Dilma Rousseff,1,PT,Saúde/hospitais/postos de saúde,0,6,4,Ruim,6,Ruim,6,0,0,1,3,1,1,6,7,7,3,3,2,1,Seguro(a),57,Seguro(a),6,Branca,Católica,4,3,Saúde/hospitais/postos de saúde,4,3,NA,NA,6,0,1,0,0,1,0,0,0,0,5,Gestão Financ.,1,3,Saúde/hospitais/postos de saúde,4,0,Não deveriam ter o direito de disputar a reeleição,4,Mais ou menos surpreso(a),1,1,1,0,0
7,Abreu e Lima,2600054,260005405000008,(2) Gestão Financeira,0,APROVADO COM RESSALVA,41,Muito interessado(a),1,1,0,Sim,Dilma Rousseff,1,PT,Saúde/hospitais/postos de saúde,0,7,4,Ruim,7,Ruim,7,0,0,0,1,1,1,6,5,4,3,3,2,1,Seguro(a),57,Seguro(a),9,Parda,Católica,4,3,Saúde/hospitais/postos de saúde,4,NA,NA,NA,6,0,1,0,0,0,0,0,1,0,5,Gestão Financ.,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
8,Abreu e Lima,2600054,260005405000008,(1) Controle,0,APROVADO COM RESSALVA,28,Pouco interessado(a),0,1,0,Sim,Dilma Rousseff,0,NA,Saúde/hospitais/postos de saúde,0,1,4,Ruim,1,Ruim,1,0,0,0,1,1,1,1,1,1,4,4,2,1,Seguro(a),50,Seguro(a),10,Branca,Evangélica Pentecostal,4,3,Saúde/hospitais/postos de saúde,NA,1,1,1,1,0,0,0,1,1,0,0,1,0,6,Educação,0,3,Saúde/hospitais/postos de saúde,2,0,Não deveriam ter o direito de disputar a reeleição,4,Pouco surpreso(a),1,0,0,0,0
9,Abreu e Lima,2600054,260005405000039,(1) Controle,0,APROVADO COM RESSALVA,65,Nada interessado(a),1,0,1,Sim,Dilma Rousseff,0,NA,Saúde/hospitais/postos de saúde,1,1,5,Péssimo,2,Péssimo,1,0,0,1,6,2,1,4,4,3,1,1,3,1,Inseguro(a),3,Seguro(a),2,Parda,Católica,3,3,Saúde/hospitais/postos de saúde,5,6,2,NA,NA,0,0,0,1,1,0,0,0,0,4,Gestão Financ.,1,1,Saúde/hospitais/postos de saúde,1,0,Não deveriam ter o direito de disputar a reeleição,4,Pouco surpreso(a),0,1,0,0,0
10,Abreu e Lima,2600054,260005405000039,(3) Educação,0,APROVADO COM RESSALVA,55,Nada interessado(a),1,0,1,Sim,Dilma Rousseff,0,NA,Saúde/hospitais/postos de saúde,0,1,5,Péssimo,1,Péssimo,1,0,0,1,7,2,2,4,4,4,3,1,2,1,Inseguro(a),3,Muito inseguro(a),3,Parda,Católica,4,4,Saúde/hospitais/postos de saúde,5,7,2,2,4,1,0,0,0,0,0,1,1,0,3,Educação,1,1,Saúde/hospitais/postos de saúde,1,1,Não deveriam ter o direito de disputar a reeleição,1,Não ficaria surpreso(a) de jeito nenhum,0,1,0,1,0
